Run Iter RMSE Test_Error
158 0 0.474495 0.000000 
158 1 0.214329 0.000000 
158 2 0.197957 0.000000 
158 3 0.173381 0.000000 
158 4 0.119293 0.000000 
158 5 0.134073 0.000000 
158 6 0.093786 0.000000 
158 7 0.071629 0.000000 
158 8 0.087944 0.000000 
158 9 0.092631 0.000000 
158 10 0.104293 0.000000 
158 11 0.088718 0.000000 
158 12 0.092138 0.000000 
158 13 0.068341 0.000000 
158 14 0.054310 0.000000 
158 15 0.047585 0.000000 
158 16 0.055012 0.000000 
158 17 0.040310 0.000000 
158 18 0.036322 0.000000 
158 19 0.048130 0.000000 
158 20 0.040364 0.000000 
158 21 0.024822 0.000000 
158 22 0.036965 0.000000 
158 23 0.053493 0.000000 
158 24 0.042743 0.000000 
158 25 0.041908 0.000000 
158 26 0.047383 0.000000 
158 27 0.042453 0.000000 
158 28 0.043650 0.000000 
158 29 0.033295 0.000000 
158 30 0.046064 0.000000 
158 31 0.041476 0.000000 
158 32 0.029256 0.000000 
158 33 0.024855 0.000000 
158 34 0.043762 0.000000 
158 35 0.028449 0.000000 
158 36 0.026978 0.000000 
158 37 0.018727 0.000000 
158 38 0.028917 0.000000 
158 39 0.021027 0.000000 
158 40 0.021858 0.000000 
158 41 0.026768 0.000000 
158 42 0.024322 0.000000 
158 43 0.037552 0.000000 
158 44 0.034940 0.000000 
158 45 0.041568 0.000000 
158 46 0.035901 0.000000 
158 47 0.033258 0.000000 
158 48 0.040948 0.000000 
158 49 0.019827 0.000000 
158 50 0.021269 0.000000 
158 51 0.016487 0.000000 
158 52 0.020499 0.000000 
158 53 0.021826 0.000000 
158 54 0.024278 0.000000 
158 55 0.038698 0.000000 
158 56 0.044065 0.000000 
158 57 0.047809 0.000000 
158 58 0.047233 0.000000 
158 59 0.036900 0.000000 
158 60 0.034320 0.000000 
158 61 0.027929 0.000000 
158 62 0.033085 0.000000 
158 63 0.040089 0.000000 
158 64 0.040853 0.000000 
158 65 0.054706 0.000000 
158 66 0.051909 0.000000 
158 67 0.053291 0.000000 
158 68 0.054511 0.000000 
158 69 0.056509 0.000000 
158 70 0.070520 0.000000 
128 0 0.230412 0.000000 
128 1 0.228082 0.000000 
128 2 0.256273 0.000000 
128 3 0.301219 0.000000 
128 4 0.310949 0.000000 
128 5 0.339543 0.000000 
128 6 0.329726 0.000000 
128 7 0.270954 0.000000 
128 8 0.153604 0.000000 
128 9 0.098967 0.000000 
128 10 0.114698 0.000000 
128 11 0.101128 0.000000 
128 12 0.151493 0.000000 
128 13 0.117066 0.000000 
128 14 0.104352 0.000000 
128 15 0.078543 0.000000 
128 16 0.079508 0.000000 
128 17 0.084974 0.000000 
128 18 0.075689 0.000000 
128 19 0.060677 0.000000 
128 20 0.075878 0.000000 
128 21 0.079609 0.000000 
128 22 0.087754 0.000000 
128 23 0.109929 0.000000 
128 24 0.135181 0.000000 
128 25 0.133878 0.000000 
128 26 0.174021 0.000000 
128 27 0.136066 0.000000 
128 28 0.161225 0.000000 
128 29 0.153363 0.000000 
128 30 0.148041 0.000000 
128 31 0.127515 0.000000 
128 32 0.118684 0.000000 
128 33 0.109761 0.000000 
128 34 0.101391 0.000000 
128 35 0.079139 0.000000 
128 36 0.098543 0.000000 
128 37 0.108297 0.000000 
128 38 0.095978 0.000000 
128 39 0.102796 0.000000 
128 40 0.096269 0.000000 
128 41 0.079459 0.000000 
128 42 0.070391 0.000000 
128 43 0.065832 0.000000 
128 44 0.081612 0.000000 
128 45 0.091599 0.000000 
128 46 0.078957 0.000000 
128 47 0.070047 0.000000 
128 48 0.084132 0.000000 
128 49 0.080540 0.000000 
128 50 0.075862 0.000000 
128 51 0.071638 0.000000 
128 52 0.070264 0.000000 
128 53 0.058619 0.000000 
128 54 0.058566 0.000000 
128 55 0.045607 0.000000 
128 56 0.046711 0.000000 
128 57 0.058580 0.000000 
128 58 0.057768 0.000000 
128 59 0.064281 0.000000 
128 60 0.069661 0.000000 
128 61 0.074548 0.000000 
128 62 0.064778 0.000000 
128 63 0.063232 0.000000 
128 64 0.081414 0.000000 
128 65 0.084200 0.000000 
128 66 0.086718 0.000000 
128 67 0.083686 0.000000 
128 68 0.084351 0.000000 
128 69 0.075592 0.000000 
128 70 0.075314 0.000000 
164 0 0.128590 0.000000 
164 1 0.170564 0.000000 
164 2 0.184354 0.000000 
164 3 0.122545 0.000000 
164 4 0.086680 0.000000 
164 5 0.089477 0.000000 
164 6 0.144672 0.000000 
164 7 0.194028 0.000000 
164 8 0.148073 0.000000 
164 9 0.150020 0.000000 
164 10 0.121882 0.000000 
164 11 0.070292 0.000000 
164 12 0.052536 0.000000 
164 13 0.071278 0.000000 
164 14 0.107340 0.000000 
164 15 0.102438 0.000000 
164 16 0.095477 0.000000 
164 17 0.052261 0.000000 
164 18 0.038814 0.000000 
164 19 0.058751 0.000000 
164 20 0.069233 0.000000 
164 21 0.091126 0.000000 
164 22 0.050794 0.000000 
164 23 0.047886 0.000000 
164 24 0.059833 0.000000 
164 25 0.069979 0.000000 
164 26 0.069507 0.000000 
164 27 0.071288 0.000000 
164 28 0.059127 0.000000 
164 29 0.051202 0.000000 
