Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
89 0 1.134852 0.000000 
89 1 1.175259 0.000000 
89 2 0.987644 0.000000 
89 3 0.970383 0.000000 
89 4 0.943561 0.000000 
89 5 0.955036 0.000000 
89 6 0.658313 0.000000 
89 7 0.580264 0.000000 
89 8 0.553373 0.000000 
89 9 0.550329 0.000000 
89 10 0.569468 0.000000 
89 11 0.555981 0.000000 
89 12 0.566879 0.000000 
89 13 0.576616 0.000000 
89 14 0.552843 0.000000 
89 15 0.530678 0.000000 
89 16 0.519465 0.000000 
89 17 0.509971 0.000000 
89 18 0.498849 0.000000 
89 19 0.486611 0.000000 
89 20 0.484104 0.000000 
89 21 0.490573 0.000000 
89 22 0.498083 0.000000 
89 23 0.498509 0.000000 
89 24 0.471749 0.000000 
89 25 0.484260 0.000000 
89 26 0.469942 0.000000 
89 27 0.470389 0.000000 
89 28 0.466783 0.000000 
89 29 0.447010 0.000000 
89 30 0.439875 0.000000 
89 31 0.454028 0.000000 
89 32 0.459458 0.000000 
89 33 0.460611 0.000000 
89 34 0.472144 0.000000 
89 35 0.465738 0.000000 
89 36 0.459848 0.000000 
89 37 0.469480 0.000000 
89 38 0.474504 0.000000 
89 39 0.483743 0.000000 
89 40 0.475660 0.000000 
89 41 0.460815 0.000000 
89 42 0.464881 0.000000 
89 43 0.470082 0.000000 
89 44 0.468956 0.000000 
89 45 0.469885 0.000000 
89 46 0.491683 0.000000 
89 47 0.489348 0.000000 
89 48 0.489313 0.000000 
89 49 0.486568 0.000000 
89 50 0.484036 0.000000 
89 51 0.490750 0.000000 
89 52 0.487867 0.000000 
89 53 0.479632 0.000000 
89 54 0.479652 0.000000 
89 55 0.479339 0.000000 
89 56 0.475323 0.000000 
89 57 0.482909 0.000000 
89 58 0.478143 0.000000 
89 59 0.475809 0.000000 
89 60 0.475486 0.000000 
89 61 0.470301 0.000000 
89 62 0.472809 0.000000 
89 63 0.476857 0.000000 
89 64 0.474522 0.000000 
89 65 0.467079 0.000000 
89 66 0.467614 0.000000 
89 67 0.472466 0.000000 
89 68 0.474783 0.000000 
89 69 0.474025 0.000000 
89 70 0.468490 0.000000 
89 71 0.473720 0.000000 
89 72 0.467318 0.000000 
89 73 0.467912 0.000000 
89 74 0.464497 0.000000 
89 75 0.469301 0.000000 
89 76 0.471230 0.000000 
89 77 0.467219 0.000000 
89 78 0.463960 0.000000 
89 79 0.463295 0.000000 
89 80 0.462231 0.000000 
89 81 0.459519 0.000000 
89 82 0.458329 0.000000 
89 83 0.460334 0.000000 
89 84 0.466446 0.000000 
89 85 0.467914 0.000000 
89 86 0.466636 0.000000 
89 87 0.466945 0.000000 
89 88 0.465971 0.000000 
89 89 0.460803 0.000000 
89 90 0.460362 0.000000 
89 91 0.456272 0.000000 
89 92 0.455345 0.000000 
89 93 0.452055 0.000000 
89 94 0.448581 0.000000 
89 95 0.444456 0.000000 
89 96 0.446888 0.000000 
89 97 0.449248 0.000000 
89 98 0.451361 0.000000 
89 99 0.448342 0.000000 
89 100 0.445972 0.000000 
89 101 0.443162 0.000000 
89 102 0.432416 0.000000 
89 103 0.435749 0.000000 
89 104 0.433090 0.000000 
89 105 0.427982 0.000000 
89 106 0.426130 0.000000 
89 107 0.423911 0.000000 
89 108 0.426437 0.000000 
89 109 0.427055 0.000000 
89 110 0.425768 0.000000 
89 111 0.423125 0.000000 
89 112 0.423306 0.000000 
89 113 0.428239 0.000000 
89 114 0.425119 0.000000 
89 115 0.424257 0.000000 
89 116 0.423977 0.000000 
89 117 0.423045 0.000000 
89 118 0.427462 0.000000 
89 119 0.431615 0.000000 
89 120 0.423721 0.000000 
89 121 0.426002 0.000000 
89 122 0.427057 0.000000 
89 123 0.428187 0.000000 
89 124 0.426513 0.000000 
89 125 0.430996 0.000000 
89 126 0.429036 0.000000 
89 127 0.433246 0.000000 
89 128 0.437878 0.000000 
89 129 0.438749 0.000000 
89 130 0.435054 0.000000 
89 131 0.434221 0.000000 
89 132 0.437195 0.000000 
89 133 0.440000 0.000000 
89 134 0.436193 0.000000 
89 135 0.432993 0.000000 
89 136 0.434242 0.000000 
89 137 0.432690 0.000000 
89 138 0.430978 0.000000 
89 139 0.430232 0.000000 
89 140 0.431630 0.000000 
89 141 0.433135 0.000000 
89 142 0.436361 0.000000 
89 143 0.433979 0.000000 
89 144 0.437668 0.000000 
89 145 0.436927 0.000000 
89 146 0.433517 0.000000 
89 147 0.434740 0.000000 
89 148 0.437104 0.000000 
89 149 0.439552 0.000000 
89 150 0.440759 0.000000 
89 151 0.439328 0.000000 
89 152 0.437112 0.000000 
89 153 0.438481 0.000000 
89 154 0.438082 0.000000 
89 155 0.440296 0.000000 
89 156 0.438227 0.000000 
89 157 0.439041 0.000000 
89 158 0.438506 0.000000 
89 159 0.438203 0.000000 
89 160 0.433798 0.000000 
89 161 0.435668 0.000000 
89 162 0.434560 0.000000 
89 163 0.433618 0.000000 
89 164 0.435139 0.000000 
89 165 0.434198 0.000000 
89 166 0.434609 0.000000 
89 167 0.436047 0.000000 
89 168 0.436896 0.000000 
89 169 0.434528 0.000000 
89 170 0.436365 0.000000 
89 171 0.434676 0.000000 
89 172 0.434000 0.000000 
89 173 0.433389 0.000000 
89 174 0.431913 0.000000 
89 175 0.433542 0.000000 
89 176 0.433451 0.000000 
89 177 0.432927 0.000000 
89 178 0.435045 0.000000 
89 179 0.435948 0.000000 
89 180 0.437758 0.000000 
89 181 0.439943 0.000000 
89 182 0.440343 0.000000 
89 183 0.439030 0.000000 
89 184 0.439416 0.000000 
89 185 0.438509 0.000000 
89 186 0.440769 0.000000 
89 187 0.438795 0.000000 
89 188 0.438888 0.000000 
89 189 0.439654 0.000000 
89 190 0.438098 0.000000 
89 191 0.438802 0.000000 
89 192 0.438697 0.000000 
89 193 0.439271 0.000000 
89 194 0.437687 0.000000 
89 195 0.436683 0.000000 
89 196 0.436129 0.000000 
89 197 0.435130 0.000000 
89 198 0.434624 0.000000 
89 199 0.435051 0.000000 
89 200 0.435410 0.000000 
89 201 0.434694 0.000000 
89 202 0.434591 0.000000 
89 203 0.434596 0.000000 
89 204 0.435581 0.000000 
89 205 0.435914 0.000000 
89 206 0.433536 0.000000 
89 207 0.433464 0.000000 
89 208 0.433184 0.000000 
89 209 0.431326 0.000000 
89 210 0.429693 0.000000 
89 211 0.430098 0.000000 
89 212 0.428864 0.000000 
89 213 0.429253 0.000000 
89 214 0.430171 0.000000 
89 215 0.429218 0.000000 
89 216 0.426869 0.000000 
89 217 0.423640 0.000000 
89 218 0.426434 0.000000 
89 219 0.424236 0.000000 
89 220 0.428258 0.000000 
89 221 0.425352 0.000000 
89 222 0.426944 0.000000 
89 223 0.430159 0.000000 
89 224 0.430588 0.000000 
89 225 0.428859 0.000000 
89 226 0.429029 0.000000 
89 227 0.427951 0.000000 
89 228 0.429856 0.000000 
89 229 0.430483 0.000000 
89 230 0.429723 0.000000 
89 231 0.431089 0.000000 
89 232 0.429934 0.000000 
89 233 0.428607 0.000000 
89 234 0.428859 0.000000 
89 235 0.429081 0.000000 
89 236 0.429416 0.000000 
89 237 0.428454 0.000000 
89 238 0.427941 0.000000 
89 239 0.429043 0.000000 
89 240 0.429521 0.000000 
89 241 0.430437 0.000000 
89 242 0.433735 0.000000 
89 243 0.434761 0.000000 
89 244 0.433245 0.000000 
89 245 0.434076 0.000000 
89 246 0.434576 0.000000 
89 247 0.432761 0.000000 
89 248 0.433440 0.000000 
89 249 0.433511 0.000000 
89 250 0.433961 0.000000 
34 0 0.165862 0.000000 
34 1 0.201765 0.000000 
34 2 0.197947 0.000000 
34 3 0.192841 0.000000 
34 4 0.231476 0.000000 
34 5 0.295947 0.000000 
34 6 0.262753 0.000000 
34 7 0.260935 0.000000 
34 8 0.247313 0.000000 
34 9 0.196595 0.000000 
34 10 0.179265 0.000000 
34 11 0.199385 0.000000 
34 12 0.193378 0.000000 
34 13 0.222999 0.000000 
34 14 0.198150 0.000000 
34 15 0.202097 0.000000 
34 16 0.222383 0.000000 
34 17 0.213508 0.000000 
34 18 0.230051 0.000000 
34 19 0.217241 0.000000 
34 20 0.220861 0.000000 
34 21 0.215765 0.000000 
34 22 0.207197 0.000000 
34 23 0.219506 0.000000 
34 24 0.213003 0.000000 
34 25 0.200699 0.000000 
34 26 0.209502 0.000000 
34 27 0.203874 0.000000 
34 28 0.186616 0.000000 
34 29 0.173431 0.000000 
34 30 0.174119 0.000000 
34 31 0.190330 0.000000 
34 32 0.180530 0.000000 
34 33 0.181743 0.000000 
34 34 0.191547 0.000000 
34 35 0.193842 0.000000 
34 36 0.198281 0.000000 
34 37 0.199981 0.000000 
34 38 0.190606 0.000000 
34 39 0.196608 0.000000 
34 40 0.198215 0.000000 
34 41 0.188824 0.000000 
34 42 0.191809 0.000000 
34 43 0.187070 0.000000 
34 44 0.167570 0.000000 
34 45 0.156334 0.000000 
34 46 0.173945 0.000000 
34 47 0.174271 0.000000 
34 48 0.190539 0.000000 
34 49 0.186382 0.000000 
34 50 0.184897 0.000000 
34 51 0.178389 0.000000 
34 52 0.173177 0.000000 
34 53 0.174522 0.000000 
34 54 0.186572 0.000000 
34 55 0.197697 0.000000 
34 56 0.195742 0.000000 
34 57 0.192874 0.000000 
34 58 0.178414 0.000000 
34 59 0.177925 0.000000 
34 60 0.171482 0.000000 
34 61 0.170775 0.000000 
34 62 0.150360 0.000000 
34 63 0.148506 0.000000 
34 64 0.147831 0.000000 
34 65 0.146716 0.000000 
34 66 0.147208 0.000000 
34 67 0.137103 0.000000 
34 68 0.144007 0.000000 
34 69 0.145246 0.000000 
34 70 0.140015 0.000000 
34 71 0.143394 0.000000 
34 72 0.150225 0.000000 
34 73 0.146265 0.000000 
