Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
100 0 1.341111 0.496178 
100 1 0.792199 0.518114 
100 2 0.386437 0.543206 
100 3 0.277869 0.558884 
100 4 0.114019 0.573801 
100 5 0.108501 0.563157 
100 6 0.107378 0.574492 
100 7 0.111190 0.565493 
100 8 0.113676 0.533657 
100 9 0.109641 0.544506 
100 10 0.128182 0.550374 
100 11 0.124660 0.519626 
100 12 0.156768 0.525588 
100 13 0.157499 0.534889 
100 14 0.166875 0.519200 
100 15 0.164923 0.527346 
100 16 0.172911 0.535323 
100 17 0.180347 0.539996 
100 18 0.177809 0.546658 
100 19 0.146741 0.551324 
100 20 0.162679 0.557131 
100 21 0.147590 0.560959 
100 22 0.132056 0.564778 
100 23 0.130342 0.569365 
100 24 0.130588 0.571729 
100 25 0.123277 0.574172 
100 26 0.114318 0.577801 
100 27 0.114251 0.580792 
100 28 0.107396 0.582780 
100 29 0.111047 0.585979 
100 30 0.106491 0.580216 
100 31 0.105346 0.577236 
100 32 0.109143 0.580345 
100 33 0.102710 0.582284 
100 34 0.101341 0.576863 
100 35 0.098030 0.579193 
100 36 0.092939 0.581054 
100 37 0.095660 0.583725 
100 38 0.095239 0.586266 
100 39 0.107838 0.587234 
100 40 0.106510 0.578150 
100 41 0.106098 0.580650 
100 42 0.103408 0.582129 
100 43 0.119434 0.584474 
100 44 0.116317 0.586163 
100 45 0.117605 0.588308 
100 46 0.117511 0.580299 
100 47 0.107767 0.572642 
100 48 0.109449 0.564227 
100 49 0.109425 0.556065 
100 50 0.106702 0.558546 
100 51 0.107165 0.560952 
100 52 0.107453 0.563243 
100 53 0.099455 0.559470 
100 54 0.097611 0.556999 
100 55 0.092724 0.557370 
100 56 0.089552 0.559059 
100 57 0.087196 0.561228 
100 58 0.087605 0.562635 
100 59 0.087164 0.564672 
100 60 0.078002 0.556238 
100 61 0.077992 0.557972 
100 62 0.079419 0.559352 
100 63 0.081274 0.561156 
100 64 0.077055 0.562564 
100 65 0.076952 0.556191 
100 66 0.076948 0.558053 
100 67 0.068682 0.559956 
100 68 0.068644 0.558625 
100 69 0.069223 0.560442 
100 70 0.067837 0.555708 
100 71 0.064346 0.549772 
100 72 0.063652 0.547326 
100 73 0.067940 0.549096 
100 74 0.066140 0.549244 
100 75 0.068432 0.550917 
100 76 0.065860 0.552443 
100 77 0.065966 0.554136 
100 78 0.066915 0.548151 
100 79 0.069246 0.549259 
100 80 0.066620 0.550934 
100 81 0.067715 0.552585 
100 82 0.069330 0.551789 
100 83 0.069628 0.553397 
100 84 0.069977 0.550027 
100 85 0.069077 0.551563 
100 86 0.067897 0.553120 
100 87 0.065967 0.554354 
100 88 0.068559 0.555807 
100 89 0.068478 0.557165 
100 90 0.064527 0.553316 
100 91 0.064045 0.554583 
100 92 0.064169 0.555997 
100 93 0.060366 0.555403 
100 94 0.061560 0.556573 
100 95 0.064381 0.557933 
100 96 0.063770 0.555402 
100 97 0.066055 0.556684 
100 98 0.066522 0.557620 
100 99 0.066959 0.557464 
100 100 0.066993 0.558464 
100 101 0.063324 0.559736 
100 102 0.062968 0.560893 
100 103 0.059573 0.557595 
100 104 0.059657 0.558694 
100 105 0.060711 0.559916 
100 106 0.062773 0.555483 
100 107 0.064212 0.556411 
100 108 0.068726 0.557574 
100 109 0.069763 0.558349 
100 110 0.070250 0.556275 
100 111 0.071850 0.557326 
100 112 0.073679 0.558439 
100 113 0.073656 0.559542 
100 114 0.071734 0.559832 
100 115 0.071738 0.560929 
100 116 0.071747 0.559349 
100 117 0.070534 0.557457 
100 118 0.070609 0.558351 
100 119 0.071069 0.555286 
100 120 0.071508 0.553802 
100 121 0.067389 0.554792 
100 122 0.069027 0.555879 
100 123 0.068206 0.553528 
100 124 0.068342 0.554603 
100 125 0.068977 0.551862 
100 126 0.069378 0.552943 
100 127 0.066590 0.553876 
100 128 0.065034 0.553814 
100 129 0.065577 0.554858 
100 130 0.066315 0.555880 
100 131 0.065716 0.553493 
100 132 0.067114 0.554511 
100 133 0.068200 0.553721 
100 134 0.069256 0.550228 
100 135 0.065417 0.549319 
100 136 0.064945 0.550313 
100 137 0.065430 0.549583 
100 138 0.064966 0.548353 
100 139 0.064839 0.545425 
100 140 0.063252 0.546224 
100 141 0.063889 0.545157 
100 142 0.064182 0.546164 
100 143 0.065077 0.546954 
100 144 0.064108 0.546893 
100 145 0.063132 0.547295 
100 146 0.063250 0.545722 
100 147 0.064450 0.546515 
100 148 0.066126 0.547472 
100 149 0.064897 0.547058 
100 150 0.064555 0.546416 
100 151 0.063319 0.543415 
100 152 0.059080 0.544379 
100 153 0.059742 0.544105 
100 154 0.059527 0.545009 
100 155 0.060101 0.544967 
100 156 0.060149 0.544963 
100 157 0.059908 0.545863 
100 158 0.060688 0.546344 
100 159 0.060713 0.547157 
100 160 0.063629 0.548082 
100 161 0.063028 0.547465 
100 162 0.060419 0.548340 
100 163 0.060245 0.549203 
100 164 0.060328 0.549247 
100 165 0.060379 0.549807 
100 166 0.059726 0.550279 
100 167 0.058086 0.551108 
100 168 0.059162 0.551925 
100 169 0.058267 0.552737 
100 170 0.056863 0.553540 
100 171 0.055768 0.553539 
100 172 0.057477 0.554329 
100 173 0.058316 0.553041 
100 174 0.059030 0.551745 
100 175 0.058054 0.550824 
100 176 0.058731 0.551608 
100 177 0.058480 0.551757 
100 178 0.059464 0.552336 
100 179 0.059486 0.551433 
100 180 0.058364 0.552077 
100 181 0.058195 0.550066 
100 182 0.058652 0.550580 
100 183 0.058390 0.548611 
100 184 0.058670 0.548602 
100 185 0.059304 0.549054 
100 186 0.058856 0.549808 
100 187 0.057698 0.550554 
100 188 0.055866 0.550147 
100 189 0.056091 0.549226 
100 190 0.055913 0.549434 
100 191 0.054573 0.549421 
100 192 0.054477 0.548268 
100 193 0.054823 0.549000 
100 194 0.055284 0.548024 
100 195 0.055374 0.548749 
100 196 0.054814 0.549372 
100 197 0.054720 0.549637 
100 198 0.055762 0.549797 
100 199 0.055789 0.549374 
100 200 0.054939 0.549963 
100 201 0.054411 0.550660 
100 202 0.055392 0.551360 
100 203 0.055159 0.550076 
100 204 0.055647 0.550561 
100 205 0.056316 0.550687 
100 206 0.055917 0.549364 
100 207 0.056428 0.549446 
100 208 0.056397 0.550121 
100 209 0.058320 0.550813 
100 210 0.058875 0.551376 
100 211 0.060772 0.552050 
100 212 0.060009 0.551116 
100 213 0.060463 0.551656 
100 214 0.061035 0.549807 
100 215 0.059791 0.549099 
100 216 0.059320 0.547594 
100 217 0.059323 0.548243 
100 218 0.058865 0.548895 
100 219 0.058330 0.548941 
100 220 0.058315 0.549529 
100 221 0.058230 0.548519 
100 222 0.058135 0.548339 
100 223 0.057503 0.547932 
100 224 0.056446 0.548572 
100 225 0.057050 0.549054 
100 226 0.056991 0.547864 
100 227 0.056461 0.547518 
100 228 0.057090 0.548083 
100 229 0.056744 0.546416 
100 230 0.056161 0.545528 
100 231 0.054633 0.545237 
100 232 0.054709 0.545814 
100 233 0.055339 0.545008 
100 234 0.054849 0.542929 
100 235 0.055102 0.542444 
100 236 0.054851 0.542437 
100 237 0.054913 0.543059 
100 238 0.055766 0.543587 
100 239 0.055752 0.544177 
100 240 0.056162 0.543593 
100 241 0.056170 0.544141 
100 242 0.056268 0.544314 
100 243 0.056178 0.544916 
100 244 0.056086 0.545197 
100 245 0.055715 0.545617 
100 246 0.057800 0.543950 
100 247 0.057722 0.543499 
100 248 0.056157 0.541945 
100 249 0.055486 0.541344 
100 250 0.055512 0.540156 
169 0 0.203018 0.497468 
169 1 0.339808 0.528346 
169 2 0.337946 0.550265 
169 3 0.296270 0.560054 
169 4 0.128506 0.574888 
169 5 0.122488 0.529729 
169 6 0.144756 0.542687 
169 7 0.127235 0.551342 
169 8 0.095985 0.562236 
169 9 0.078520 0.568442 
169 10 0.074106 0.576281 
169 11 0.056014 0.568721 
169 12 0.095692 0.576245 
169 13 0.071787 0.582154 
169 14 0.039878 0.561251 
169 15 0.044768 0.567684 
169 16 0.059375 0.573042 
169 17 0.060644 0.578512 
169 18 0.053592 0.580864 
169 19 0.036989 0.560184 
169 20 0.061451 0.562796 
169 21 0.061622 0.567516 
169 22 0.047365 0.570532 
169 23 0.063964 0.574712 
169 24 0.064765 0.578711 
169 25 0.074175 0.582536 
169 26 0.067902 0.584892 
169 27 0.060819 0.586909 
169 28 0.037199 0.590151 
169 29 0.036006 0.574482 
169 30 0.038331 0.576374 
169 31 0.052399 0.579643 
169 32 0.051926 0.578433 
169 33 0.047831 0.580317 
169 34 0.057320 0.580974 
169 35 0.051022 0.583672 
169 36 0.054905 0.586334 
169 37 0.049591 0.576125 
169 38 0.047112 0.578797 
169 39 0.048771 0.581326 
169 40 0.046580 0.583812 
169 41 0.025580 0.576355 
169 42 0.027530 0.578370 
169 43 0.028619 0.572820 
169 44 0.033009 0.575300 
169 45 0.032261 0.576638 
169 46 0.037170 0.577325 
169 47 0.037450 0.579542 
169 48 0.029788 0.581692 
169 49 0.032167 0.572333 
169 50 0.027875 0.569353 
169 51 0.037050 0.564454 
169 52 0.038112 0.565866 
169 53 0.040605 0.567484 
169 54 0.041843 0.569363 
169 55 0.041165 0.569236 
169 56 0.046659 0.565741 
169 57 0.044509 0.560636 
169 58 0.044681 0.562743 
169 59 0.052713 0.564769 
169 60 0.052672 0.566369 
169 61 0.054073 0.567779 
169 62 0.059927 0.562265 
169 63 0.069484 0.563869 
169 64 0.068785 0.565232 
169 65 0.071847 0.567041 
169 66 0.075560 0.560690 
169 67 0.078902 0.561736 
169 68 0.078729 0.563534 
169 69 0.068649 0.565077 
